"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2048","DELETE - delete a user","chromium","2026-06-28","passed","2026-06-28","","api/users.api.indi.spec.ts","",""
"","2065","forgot password link exists test","chromium","2026-06-28","passed","2026-06-28","","loginpage.spec.ts","",""
"","2596","@smoke footers exist on product page","chromium","2026-06-28","passed","2026-06-28","","productpage.spec.ts","",""
"","3526","login to app using wrong credentials with Data driven test","chromium","2026-06-28","passed","2026-06-28","","loginpage.spec.ts","",""
"","2635","intercept and log requests","chromium","2026-06-28","passed","2026-06-28","","api/intercept.spec.ts","",""
"","1790","@smoke POST - create a user","chromium","2026-06-28","passed","2026-06-28","","api/users.api.indi.spec.ts","",""
"","1997","@smoke login page title test","chromium","2026-06-28","passed","2026-06-28","","loginpage.spec.ts","",""
"","2392","invalid login test with JSON Data - test12@open.com -","chromium","2026-06-28","passed","2026-06-28","","loginpage.spec.ts","",""
"","4425","verify product Information/Data","chromium","2026-06-28","passed","2026-06-28","","productpage.spec.ts","",""
"","3629","verify user is able to land on the product page - macbook - MacBook Air","chromium","2026-06-28","passed","2026-06-28","","search.spec.ts","",""
"","3906","verify product images count","chromium","2026-06-28","passed","2026-06-28","","productpage.spec.ts","",""
"","389","Update user data","chromium","2026-06-28","passed","2026-06-28","","api/users.api.spec.ts","",""
"","2657","comp logo exists on product page","chromium","2026-06-28","passed","2026-06-28","","search.spec.ts","",""
"","934","GET -- get location data","chromium","2026-06-28","passed","2026-06-28","","api/amadeus.oauth2.spec.ts","",""
"","2679","Logout link exists or not","chromium","2026-06-28","passed","2026-06-28","","homepage.spec.ts","",""
"","1023","PUT - update a user","chromium","2026-06-28","passed","2026-06-28","","api/users.api.indi.spec.ts","",""
"","1918","comp logo exists on product page","chromium","2026-06-28","passed","2026-06-28","","loginpage.spec.ts","",""
"","2930","verify search results count - macbook - MacBook Pro","chromium","2026-06-28","passed","2026-06-28","","search.spec.ts","",""
"","2288","invalid login test with Excel Data- - pw123","chromium","2026-06-28","passed","2026-06-28","","loginpage.spec.ts","",""
"","3917","verify product Information/Data","chromium","2026-06-28","passed","2026-06-28","","productinfopage.spec.ts","",""
"","2420","invalid login test with JSON Data - test@open.com - wrong@123","chromium","2026-06-28","passed","2026-06-28","","loginpage.spec.ts","",""
"","401","get user data","chromium","2026-06-28","passed","2026-06-28","","api/users.api.spec.ts","",""
"","388","POST API -- create a user","chromium","2026-06-28","passed","2026-06-28","running e2e go rest crud api tests","api/users.api.sep.spec.ts","",""
"","2607","invalid login test with - - pw123","chromium","2026-06-28","passed","2026-06-28","","loginpage.spec.ts","",""
"","2540","invalid login test with Excel Data- abccd@gmail.com - pwd@123","chromium","2026-06-28","passed","2026-06-28","","loginpage.spec.ts","",""
"","2644","@smoke User able to Login","chromium","2026-06-28","passed","2026-06-28","","loginpage.spec.ts","",""
"","2983","verify search results count - macbook - MacBook Air","chromium","2026-06-28","passed","2026-06-28","","search.spec.ts","",""
"","2546","invalid login test with - mkphd@test.com -","chromium","2026-06-28","passed","2026-06-28","","loginpage.spec.ts","",""
"","406","PUT API -- Update a user","chromium","2026-06-28","passed","2026-06-28","running e2e go rest crud api tests","api/users.api.sep.spec.ts","",""
"","1990","footers exist on product page","chromium","2026-06-28","passed","2026-06-28","","loginpage.spec.ts","",""
"","3842","@smoke verify product images count","chromium","2026-06-28","passed","2026-06-28","","productinfopage.spec.ts","",""
